Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Actalent Services,Minnesota,Engineering Technician,Professional Services - Engineering Staffing,7. Professional Services & Consulting,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Actalent Services,Minnesota,Recruiter,Professional Services - Engineering Staffing,7. Professional Services & Consulting,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer."
The Saint Paul Seminary,Minnesota,Administrative Coordinator,Education - Seminary,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Advanced Research Corporation,Minnesota,Thin Film Engineer,Technology - Data Storage R&D,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Agilitihealth,Minnesota,Project Analyst,Healthcare - Medical Equipment,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Agilitihealth,Minnesota,Financial analyst,Healthcare - Medical Equipment,2. Healthcare & Medical,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
AgriBank,Minnesota,Cash Management Specialist,Financial Services - Agricultural Banking,3. Financial Services & Insurance,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
AHS,,Rep,Healthcare - Hospital System,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Air Force,Minnesota,Officer,Government - Military,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Air Force,Minnesota,Force Support,Government - Military,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Air Force,Minnesota,Aircraft Maintenance,Government - Military,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Air Force Reserve,Wisconsin,Space Operations Officer,Government - Military,6. Government & Public Service,"Streamlines day-to-day business processes, identifying bottlenecks and implementing improvements to boost efficiency."
AIS,Minnesota,Metrology engineer,Professional Services - Inspection,7. Professional Services & Consulting,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
ALDI,Minnesota,District Manager,Retail - Grocery,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Aleran,Minnesota,Sales Representative,Technology - Distribution Software,1. Technology & Software,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Align Surgical Supply LLC,Minnesota,Sales Associate,Healthcare - Surgical Supply,2. Healthcare & Medical,"Assists customers in retail or business settings, processes transactions, and meets sales targets."
Alliant Engineering,Minnesota,Traffic Engineer Assistant,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Allianz,Minnesota,FMO Distribution Intern,Financial Services - Insurance,3. Financial Services & Insurance,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Allianz Life,Minnesota,Business Analyst,Financial Services - Life Insurance,3. Financial Services & Insurance,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
Allina Health,Minnesota,Community Engagement and Health Improvement Intern,Healthcare - Hospital System,2. Healthcare & Medical,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Allina Health,Minnesota,Emergency Medical Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Allina Health,Minnesota,Emergency Department Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Always Best Care Senior Services,Minnesota,Direct Care Professional,Nonprofit - Senior Care,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Amazon,Wisconsin,Operation Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Amazon,Minnesota,Area Operations Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Ameren,Minnesota,Software Consultant,Energy - Electric & Gas Utility,9. Energy & Utilities,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
American Engineering Testing,Minnesota,Construction Materials Technician,Engineering - Testing,"10. Construction, Engineering & Real Estate","Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
AmeriCorps,Minnesota,CollegePoint Coach,Government - National Service,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Americorps,Minnesota,College Coach,Government - National Service,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Abbott Laboratories,Illinois,Contingent Manufacturing Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Ameriprise Financial,Minnesota,Analytics LDP Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Leadership development Program - Mobile app team,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"Ameriprise Financial Services, LLC",Minnesota,Fund Accountant,Financial Services - Wealth Management,3. Financial Services & Insurance,"Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy."
"Ameriprise Financial Services, LLC",Minnesota,Financial Advisor in Training,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"Ameriprise Financial Services, LLC",Minnesota,Paraplanner,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Andersen,Minnesota,Inside sales representative,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Andersen Corporation,Minnesota,Supply chain analyst,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Aon,Minnesota,Account Representative,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Apex Auto Salvage,Minnesota,Ecommerce Manager,Retail - Auto Salvage,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Apex International,Minnesota,Microbiologist,Manufacturing - Printing Rollers,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Apex Systems,Virginia,Technical Recruiter,Professional Services - IT Staffing,7. Professional Services & Consulting,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer."
APi Group,Minnesota,Accounting Associate,Construction - Specialty Contracting,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
APS,Minnesota,Small Animal Technician,Professional Services - Staffing,7. Professional Services & Consulting,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Arcanum Consulting Inc.,Minnesota,Campaign Manager,Professional Services - Consulting,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Archdiocese St. Paul-Minneapolis,Minnesota,Youth Minister,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Arctic Cat,Minnesota,Manufacturing Engineer,Manufacturing - Recreational Vehicles,4. Manufacturing & Industrial,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Arctic Wolf,Minnesota,SDR,Technology - Cybersecurity,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Ashling Partners,Wisconsin,Machine Learning Consultant,Professional Services - Automation Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Asmodee Group,Do not live in the United States,Account Manager,Entertainment - Board Games,8. Retail & Consumer Products,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Aspect Automation,Minnesota,Associate Controls Engineer,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
ATP Flight School,Florida,Private Pilot,Education - Aviation Training,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Auto-Owners Insurance,Minnesota,Underwriter,Financial Services - Insurance,3. Financial Services & Insurance,Evaluates risk factors to determine appropriate terms and pricing for insurance policies or financial products.
BAE Systems,Minnesota,Project Management Office Intern,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Abbott Northwestern Hospital,Illinois,Software Verification Engineer,Healthcare - Hospital,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Banner Engineering,Minnesota,Associate Application Engineer,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Banner Engineering,Minnesota,Associate Mechanical Design Engineer,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Bath and Body Works,Minnesota,Key Holder,Retail - Personal Care,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Bayside Metal Exchange,California,Trader,Manufacturing - Metal Recycling,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"BDO USA, LLP",Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Amerigo Education,Illinois,Resident Assistant,Education - International Student Services,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Be the Match,Minnesota,Technical Writer,Healthcare - Bone Marrow Registry Nonprofit,2. Healthcare & Medical,"Creates clear documentation, user guides, and technical content for products and services."
Beacon Hill Staffing Group,Massachusetts,Staffing Consultant,Professional Services - Staffing,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Behavioral Health Alliance,Minnesota,Behavioral Health Office Manager,Healthcare - Behavioral Health,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Best Buy,Minnesota,Fraud Analyst,Retail - Electronics,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Best Buy,Minnesota,E-commerce analyst,Retail - Electronics,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Better Outlook MN,Minnesota,Office Manager,Healthcare - Mental Health,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Bind Benefits,Minnesota,QE Automation Engineer,Healthcare - Health Insurance,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Bio-Techne,Minnesota,Inside Sales Specialist,Healthcare - Biotechnology,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Bio-techne,Wisconsin,Research Associate,Healthcare - Biotechnology,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Black coffee and waffle bar,Minnesota,Server,Hospitality - Cafe,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Bloomberg LP,New York,Analyst,Technology - Financial Data,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
"BMW of North America, LLC",New Jersey,Service runner,Manufacturing - Automotive,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Bolton & Menk,Minnesota,Water Resources Design Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Boston Scientific,Massachusetts,Process Development Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Boston Scientific,Massachusetts,Laboratory Assistant,Healthcare - Medical Devices,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Boulay,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
Boulay,Minnesota,Wealth Management Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Box financial,Minnesota,Planning assistant,Financial Services - Financial Planning,3. Financial Services & Insurance,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Boys and Girls Club of the Twin Cities,Minnesota,Teen Specialist,Nonprofit - Youth Services,6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Brackett's Crossing Country Club,Minnesota,Server,Hospitality - Country Club,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Brandpoint,Minnesota,Digital Marketing Specialist,Marketing - Content Marketing,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Braun Intertec Corporation,Minnesota,Staff Scientist,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate","Applies scientific methods and research techniques to investigate phenomena, interpret data, and develop evidence-based solutions."
Breckenridge Grand Vacations,Colorado,Marketing Grand Vacation Specialist,Hospitality - Vacation Resorts,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Bridgewater Bank,Minnesota,Credit Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Bright Health,Minnesota,Actuarial Analyst,Healthcare - Health Insurance,2. Healthcare & Medical,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
BriteBelt Int.,Minnesota,Sales Representative,Manufacturing - Conveyor Belts,4. Manufacturing & Industrial,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Bühler Group,Minnesota,Project Engineer,Manufacturing - Food Processing Equipment,4. Manufacturing & Industrial,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
"BDO USA, LLP",Illinois,Transfer Pricing Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
C.H Robinson,Minnesota,Account Executive,Transportation - Logistics,7. Professional Services & Consulting,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes."
C.H. Robinson,Minnesota,Business Development Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
C.H. Robinson,Minnesota,Carrier Sales Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Cambria,Minnesota,Financial Analyst,Manufacturing - Quartz Surfaces,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Cambria,Minnesota,Business Transformation Analyst,Manufacturing - Quartz Surfaces,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Cantel Medical,New Jersey,Mechanical Engineer,Healthcare - Infection Prevention,2. Healthcare & Medical,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Capitol Region Watershed District,Minnesota,Stormwater BMP Technician,Government - Environmental,6. Government & Public Service,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Captionmax,Minnesota,Caption Editor,Media - Captioning Services,8. Retail & Consumer Products,"Creates, edits, and manages written content across various platforms and media channels."
Cardigan Donuts,Minnesota,IT and Information Security Consultant,Hospitality - Bakery,8. Retail & Consumer Products,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
"CARE PLANNERS HOME HEALTH CARE, LLC",Minnesota,Personal Care Assistant,Healthcare - Home Health,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Caribou Coffee,Minnesota,Barista,Retail - Coffee Chain,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Caribou Coffee,Minnesota,Store Leader,Retail - Coffee Chain,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"Caring Professionals Homecare, LLC",Minnesota,Billing Assistant,Healthcare - Home Health,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Carondelet Catholic School,Minnesota,3rd Grade Teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
CBRE,Minnesota,Associate Accountant,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
CBRE,Texas,Workplace Experience Coordinator,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
CBRE,Texas,Client Services Coordinator,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
CBS Squared Inc.,Minnesota,"Building Maintenance, Surveyor",Engineering - Civil,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
CCC,Minnesota,Framer,Technology - Insurance Software,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
CDW,Minnesota,Associate Consulting Engineer,Technology - IT Solutions Distribution,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Cemstone,Minnesota,Environmental Specialist,Manufacturing - Concrete,4. Manufacturing & Industrial,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Central McGowan,Minnesota,Marketing Contractor,Manufacturing - Welding & Gas Distribution,4. Manufacturing & Industrial,"Promotes products and services through targeted campaigns, compelling content, and data-informed marketing strategies."
Ceramic industrial coatings,Minnesota,Business analysis intern,Manufacturing - Industrial Coatings,4. Manufacturing & Industrial,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
CH Robinson,Minnesota,Operations Specialist,Transportation - Logistics,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Challenge Entertainment,Minnesota,Trivia Jockey,Entertainment - Event Entertainment,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Chartwell Financial Advisory,Minnesota,Investment Banking Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
"Chartwell Financial Advisory, Inc.",Minnesota,Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making."
Cherry Tree & Associates,Minnesota,Investment Banking Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Chick-fil-A-Franchise,Georgia,Team Lead,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Children’s Dental Services,Minnesota,Public Health Assistant,Healthcare,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Children's Discovery Academy,Minnesota,Assistant Teacher,Education - Early Childhood,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Burns & Wilcox,Illinois,Associate Underwriter,Financial Services - Insurance,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Chubb Insurance,Minnesota,Underwriter Account Representative,Financial Services - Insurance,3. Financial Services & Insurance,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Cintas,Ohio,Service Sales Representative,Professional Services - Uniform & Facility,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
"City of Apple Valley, MN",Minnesota,Ice Resurfacer,Government - Municipal,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
City of Cottage Grove,Minnesota,Administration Intern,Government - Municipal,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
City of Minneapolis,Minnesota,Analyst - Health Department,Government - Municipal,6. Government & Public Service,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
"Clarus Medical, LLC",Minnesota,Design and Production Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Clifton Larson Allen,Minnesota,Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.
CliftonLarsonAllen (CLA),Minnesota,M&A - Investment Banking Analyst,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
"Clockwise, Inc.",Minnesota,Business Intern,Technology - Productivity Software,1. Technology & Software,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Clyde & Co,Do not live in the United States,Client Intake/Compliance Coordinator,Professional Services - Law Firm,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Collective Measures | Performance Marketing,Minnesota,Account Coordinator,Marketing - Digital Marketing,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
College Possible,Minnesota,College coach,Education - Nonprofit,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Collemcvoy,Minnesota,Assistant Media Planner,Marketing - Advertising Agency,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Collins Aerospace,Minnesota,Associate Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Community of Peace Academy,Minnesota,3rd grade teacher,Education - Charter School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Compute North,Minnesota,Software Engineer,Technology - Data Center / Crypto Mining,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Comunidad de Madrid,Do not live in the United States,Cultural Language Assistant,Government - Regional (Spain),6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Concept Financial Goup,Minnesota,President,Financial Services - Financial Planning,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Congressional Leadership Fund,Virginia,Digital Fundraising Manager,Government - Political,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Covenant Building and Remodeling,Minnesota,Laborer,Construction - Residential,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
CRAVE American Kitchen & Sushi Bar,Minnesota,"Hostess, Waiters Assistant",Hospitality - Restaurant,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Creed Interactive,Minnesota,Associate Designer,Technology - Digital Agency,1. Technology & Software,"Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping."
Cricket Health,Minnesota,Information Security Risk and Compliance Analyst,Healthcare - Kidney Care,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Cristo Rey Jusuit High School,Minnesota,Spanish teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Currie & Brown,Do not live in the United States,Cost and Data Analyst,Professional Services - Construction Consulting,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Chowbus,Illinois,Accounting Assistant,Technology - Food Delivery App,1. Technology & Software,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
