Job Title,Description,Why It May Seem Unrelated
Banquet Server,Food service professional at a restaurant,"Hospitality role that doesn't require a college degree, may be temporary."
Barista,Coffee preparation specialist at a cafe,Service industry role that may seem unrelated to degree-required professional positions.
Behavior Interventionist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Beverage Cart Attendant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Blending Operator,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Board Member,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Brand Ambassador,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Broker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"Building Maintenance, Surveyor",A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Business Development Rep.,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Business Owner,Business owner or entrepreneur,"This is an ownership role, not a typical employee position, making it unusual in employment datasets."
Business Partner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Business Tax Services,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
CNA,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
CPA Candidate,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Caddie,Carries clubs and assists golfers,"Seasonal/part-time recreation role, not a typical career position."
Campus Minister,Summer or outdoor camp worker,"Seasonal position, often temporary."
Caregiver,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Catastrophe Modeler,Fashion or commercial model,Non-traditional career.
Charter Member,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Child protection,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Client Support Services,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Clinical Trainee,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Club Server,Food service professional at a restaurant,"Hospitality role that doesn't require a college degree, may be temporary."
Cna,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Co-Owner,Business owner or entrepreneur,"This is an ownership role, not a typical employee position, making it unusual in employment datasets."
Commercial Lines Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Communications,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Community Health Worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Community Volunteer,Unpaid helper for an organization,Volunteer positions are unpaid and may not represent career employment.
Computer Numerical Control Machinist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Concession Stand Attendant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Concierge,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Construction Laborer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Consultation Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Crew Member,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Cultural Liaison,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Customer Experience Banker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Customer Success Advocate,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
DBA,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Data Analysis,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Day Trader,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Demolition Laborer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Development Admin,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Development Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Digital Content Producer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Digital Marketer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Direct Care,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Direct Care Professional,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Direct Support Professional,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Direct support professional,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Division Chair,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"Driven, motivated, charismatic, entrepreneurial-spirited woman",A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Early Childhood Special Education,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Educational Support in a publich charter school,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Educator,A professional educational role focused on teaching and mentoring students.,"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Emergency Department Tech,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Exercise Physiologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Faculty,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Fashion Blogger,Online content writer,Self-directed media career.
Field and Client Services,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Finance,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Finance Maanger,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Finance Team,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Financial Analysis,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Financial Services Professional,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Flight Attendant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Food Server,Food service professional at a restaurant,"Hospitality role that doesn't require a college degree, may be temporary."
Force Support,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Founder,Entrepreneur who started a company,"Founders are company creators, not traditional employees - this is a unique career path."
Framer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Front Desk,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Fulfillment,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Geologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Grain Merchandiser,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Groundskeeper,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
HR Generalist,"A professional manages employment-related functions including hiring, benefits, and employee relations.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Host/Hostess,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Human Resource Generalist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Ice Resurfacer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Insurance Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Insurance Broker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Insurance Underwriting,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Key Holder,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Laborer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Learning and Development,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Legal Couseler,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Licensed Realtor,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Lifeguard,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
MIT Program,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Majoring in General Business Management ll Minor in Psychology,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Management Trainee,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Manufacturing,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Medical Technologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Member-at-Large,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental Health Practioner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental Health Practioner III,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental Health Practitioner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental Health Rehabilitation Worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental Health Worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental health practitioner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Mental health professional,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Merchandiser,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Merchant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Missionary,Religious worker serving abroad or in communities,Faith-based role that operates outside traditional corporate structures.
Model,Fashion or commercial model,Non-traditional career.
Multi-Media Journalist,"A professional creates, reviews, or manages written content for various media.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Multimedia Content Producer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Multimedia Journalist,"A professional creates, reviews, or manages written content for various media.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Music Educator,A professional educational role focused on teaching and mentoring students.,"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Nanny,Childcare provider for families,Domestic employment that doesn't typically require a specific degree.
National Bank Examiner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Naval Aviator,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Neurophysiologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Neuropsychometrist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
News Reporter,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Nursing,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Outreach Advocate,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Owner,Business owner or entrepreneur,"This is an ownership role, not a typical employee position, making it unusual in employment datasets."
Owner/Operator,Business owner or entrepreneur,"This is an ownership role, not a typical employee position, making it unusual in employment datasets."
Para,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Paraeducator,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Parelegal,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Parks Maintenance Worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Pathology Aide,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Peer Health Educator,A professional educational role focused on teaching and mentoring students.,"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Performance Partner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Personal Banker 1,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Personal Care Attendant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Ph.D. Student,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
PhD Student,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Pharmacy tech,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Photographer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Physical therapy tech,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Planning Committee Member,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Podcast Host,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Police Sergeant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Port Captain,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Product Builder,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Product Marketer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Product Owner,Business owner or entrepreneur,"This is an ownership role, not a typical employee position, making it unusual in employment datasets."
Professional golfer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Project Wngineer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Promotions Crew,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Psychologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Quality Management,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Quality Management Partner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Quality steward,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
RN,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Radiologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Real Estate Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Receiver,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Recent Graduate from University of St. Thomas,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Recently graduated college and moved out to Denver to start pursuing my passion in the business world.,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Relationship Banker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Relationship Banker at Old National Bank,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Rep,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Reporter,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Resident Aide,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
SDR,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Sandwich Maker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Second Lieutenant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Second Year Law Student at Mitchell Hamline School of Law,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Server,Food service professional at a restaurant,"Hospitality role that doesn't require a college degree, may be temporary."
Service runner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Shipt Shopper,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Shopper,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Social Work Trainee,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Spanish Educator,A professional educational role focused on teaching and mentoring students.,"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"Special Education, Federal Setting III Emotional Behavioural Disorder",A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Sr. Digital Marketer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Student Worker- Victim Services Unit,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Student-Athlete Mentor,Professional or competitive sports player,Specialized profession based on athletic talent rather than academic credentials.
Subject Matter Expert,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Summit MarketPlace Worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
System Operator,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Talent Business Partner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Tech Aid,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Tetra Tech Field Archaeologist,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Therapiest,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trader,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trivia Jockey,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trust and Investments at City State Bank,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Unemployed,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Urban Realtor,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Urban Scholar,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"VP, Mission Advancement",A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Valet Attendant,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Volunteer Corrdinator,Unpaid helper for an organization,Volunteer positions are unpaid and may not represent career employment.
Wealth and investment management,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Wholesale Broker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Youth Minister,Religious leader or clergy member,Faith-based vocation.
au' pair,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
mental health worker,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
workforce programs partner,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
