Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Abdallah Candies Inc.,Minnesota,Kitchen/Administrative Assistant,Manufacturing - Confectionery,4. Manufacturing & Industrial,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Abdo,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
"AbelConn Electronics, a Celestica Company",Minnesota,Quality Engineer,Manufacturing - Electronics,4. Manufacturing & Industrial,Develops and implements quality control systems to ensure products meet standards and specifications.
Accenture,Minnesota,AWS Application Lead,Technology - IT Consulting,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Acosta,Florida,Associate Business Manager,Professional Services - Sales & Marketing Agency,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
ACR Homes,Minnesota,Direct Care,Healthcare - Residential Care,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Actalent Services,Minnesota,Engineering Technician,Professional Services - Engineering Staffing,7. Professional Services & Consulting,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Actalent Services,Minnesota,Recruiter,Professional Services - Engineering Staffing,7. Professional Services & Consulting,"A professional identifies, attracts, and hires talented candidates for open positions."
The Saint Paul Seminary,Minnesota,Administrative Coordinator,Education - Seminary,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Advanced Research Corporation,Minnesota,Thin Film Engineer,Technology - Data Storage R&D,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Agilitihealth,Minnesota,Project Analyst,Healthcare - Medical Equipment,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Agilitihealth,Minnesota,Financial analyst,Healthcare - Medical Equipment,2. Healthcare & Medical,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
AgriBank,Minnesota,Cash Management Specialist,Financial Services - Agricultural Banking,3. Financial Services & Insurance,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
AHS,,Rep,Healthcare - Hospital System,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Air Force,Minnesota,Officer,Government - Military,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Air Force,Minnesota,Force Support,Government - Military,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Air Force,Minnesota,Aircraft Maintenance,Government - Military,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Air Force Reserve,Wisconsin,Space Operations Officer,Government - Military,6. Government & Public Service,A professional manages day-to-day business processes to ensure efficiency and effectiveness.
AIS,Minnesota,Metrology engineer,Professional Services - Inspection,7. Professional Services & Consulting,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
ALDI,Minnesota,District Manager,Retail - Grocery,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Aleran,Minnesota,Sales Representative,Technology - Distribution Software,1. Technology & Software,A professional role serving as a point of contact between an organization and its clients or partners.
Align Surgical Supply LLC,Minnesota,Sales Associate,Healthcare - Surgical Supply,2. Healthcare & Medical,"Assists customers in retail or business settings, processes transactions, and meets sales targets."
Alliant Engineering,Minnesota,Traffic Engineer Assistant,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Allianz,Minnesota,FMO Distribution Intern,Financial Services - Insurance,3. Financial Services & Insurance,A professional temporary learning position for students or recent graduates to gain professional experience.
Allianz Life,Minnesota,Business Analyst,Financial Services - Life Insurance,3. Financial Services & Insurance,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
Allina Health,Minnesota,Community Engagement and Health Improvement Intern,Healthcare - Hospital System,2. Healthcare & Medical,A professional temporary learning position for students or recent graduates to gain professional experience.
Allina Health,Minnesota,Emergency Medical Technician,Healthcare - Hospital System,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Allina Health,Minnesota,Emergency Department Technician,Healthcare - Hospital System,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Always Best Care Senior Services,Minnesota,Direct Care Professional,Nonprofit - Senior Care,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Amazon,Wisconsin,Operation Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Amazon,Minnesota,Area Operations Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Ameren,Minnesota,Software Consultant,Energy - Electric & Gas Utility,9. Energy & Utilities,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
American Engineering Testing,Minnesota,Construction Materials Technician,Engineering - Testing,"10. Construction, Engineering & Real Estate","A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
AmeriCorps,Minnesota,CollegePoint Coach,Government - National Service,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Americorps,Minnesota,College Coach,Government - National Service,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Abbott Laboratories,Illinois,Contingent Manufacturing Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Ameriprise Financial,Minnesota,Analytics LDP Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Leadership development Program - Mobile app team,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
"Ameriprise Financial Services, LLC",Minnesota,Fund Accountant,Financial Services - Wealth Management,3. Financial Services & Insurance,"A professional financial role preparing, examining, and managing financial records and tax documents."
"Ameriprise Financial Services, LLC",Minnesota,Financial Advisor in Training,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
"Ameriprise Financial Services, LLC",Minnesota,Paraplanner,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Andersen,Minnesota,Inside sales representative,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,A professional role serving as a point of contact between an organization and its clients or partners.
Andersen Corporation,Minnesota,Supply chain analyst,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Aon,Minnesota,Account Representative,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,A professional role serving as a point of contact between an organization and its clients or partners.
Apex Auto Salvage,Minnesota,Ecommerce Manager,Retail - Auto Salvage,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Apex International,Minnesota,Microbiologist,Manufacturing - Printing Rollers,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Apex Systems,Virginia,Technical Recruiter,Professional Services - IT Staffing,7. Professional Services & Consulting,"A professional identifies, attracts, and hires talented candidates for open positions."
APi Group,Minnesota,Accounting Associate,Construction - Specialty Contracting,"10. Construction, Engineering & Real Estate",A professional entry-to-mid level professional contributing to team objectives in their functional area.
APS,Minnesota,Small Animal Technician,Professional Services - Staffing,7. Professional Services & Consulting,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Arcanum Consulting Inc.,Minnesota,Campaign Manager,Professional Services - Consulting,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Archdiocese St. Paul-Minneapolis,Minnesota,Youth Minister,Nonprofit - Religious,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Arctic Cat,Minnesota,Manufacturing Engineer,Manufacturing - Recreational Vehicles,4. Manufacturing & Industrial,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Arctic Wolf,Minnesota,SDR,Technology - Cybersecurity,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Ashling Partners,Wisconsin,Machine Learning Consultant,Professional Services - Automation Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Asmodee Group,Do not live in the United States,Account Manager,Entertainment - Board Games,8. Retail & Consumer Products,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Aspect Automation,Minnesota,Associate Controls Engineer,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
ATP Flight School,Florida,Private Pilot,Education - Aviation Training,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
Auto-Owners Insurance,Minnesota,Underwriter,Financial Services - Insurance,3. Financial Services & Insurance,A professional assesses and evaluates risk to determine insurance or loan terms and pricing.
BAE Systems,Minnesota,Project Management Office Intern,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,A professional temporary learning position for students or recent graduates to gain professional experience.
Abbott Northwestern Hospital,Illinois,Software Verification Engineer,Healthcare - Hospital,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Banner Engineering,Minnesota,Associate Application Engineer,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Banner Engineering,Minnesota,Associate Mechanical Design Engineer,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Bath and Body Works,Minnesota,Key Holder,Retail - Personal Care,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Bayside Metal Exchange,California,Trader,Manufacturing - Metal Recycling,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
"BDO USA, LLP",Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Amerigo Education,Illinois,Resident Assistant,Education - International Student Services,5. Education & Academia,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Be the Match,Minnesota,Technical Writer,Healthcare - Bone Marrow Registry Nonprofit,2. Healthcare & Medical,"Creates clear documentation, user guides, and technical content for products and services."
Beacon Hill Staffing Group,Massachusetts,Staffing Consultant,Professional Services - Staffing,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Behavioral Health Alliance,Minnesota,Behavioral Health Office Manager,Healthcare - Behavioral Health,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Best Buy,Minnesota,Fraud Analyst,Retail - Electronics,8. Retail & Consumer Products,A professional analytical role focused on examining data and providing insights to support decisions.
Best Buy,Minnesota,E-commerce analyst,Retail - Electronics,8. Retail & Consumer Products,A professional analytical role focused on examining data and providing insights to support decisions.
Better Outlook MN,Minnesota,Office Manager,Healthcare - Mental Health,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Bind Benefits,Minnesota,QE Automation Engineer,Healthcare - Health Insurance,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Bio-Techne,Minnesota,Inside Sales Specialist,Healthcare - Biotechnology,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Bio-techne,Wisconsin,Research Associate,Healthcare - Biotechnology,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Black coffee and waffle bar,Minnesota,Server,Hospitality - Cafe,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Bloomberg LP,New York,Analyst,Technology - Financial Data,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
"BMW of North America, LLC",New Jersey,Service runner,Manufacturing - Automotive,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Bolton & Menk,Minnesota,Water Resources Design Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Boston Scientific,Massachusetts,Process Development Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Boston Scientific,Massachusetts,Laboratory Assistant,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Boulay,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
Boulay,Minnesota,Wealth Management Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Box financial,Minnesota,Planning assistant,Financial Services - Financial Planning,3. Financial Services & Insurance,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Boys and Girls Club of the Twin Cities,Minnesota,Teen Specialist,Nonprofit - Youth Services,6. Government & Public Service,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Brackett's Crossing Country Club,Minnesota,Server,Hospitality - Country Club,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Brandpoint,Minnesota,Digital Marketing Specialist,Marketing - Content Marketing,7. Professional Services & Consulting,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Braun Intertec Corporation,Minnesota,Staff Scientist,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate",A professional research role applying scientific methods to study phenomena and develop solutions.
Breckenridge Grand Vacations,Colorado,Marketing Grand Vacation Specialist,Hospitality - Vacation Resorts,8. Retail & Consumer Products,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Bridgewater Bank,Minnesota,Credit Analyst,Financial Services - Banking,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Bright Health,Minnesota,Actuarial Analyst,Healthcare - Health Insurance,2. Healthcare & Medical,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
BriteBelt Int.,Minnesota,Sales Representative,Manufacturing - Conveyor Belts,4. Manufacturing & Industrial,A professional role serving as a point of contact between an organization and its clients or partners.
Bühler Group,Minnesota,Project Engineer,Manufacturing - Food Processing Equipment,4. Manufacturing & Industrial,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
"BDO USA, LLP",Illinois,Transfer Pricing Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
C.H Robinson,Minnesota,Account Executive,Transportation - Logistics,7. Professional Services & Consulting,A professional senior leadership role with strategic decision-making authority.
C.H. Robinson,Minnesota,Business Development Representative,Transportation - Logistics,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
C.H. Robinson,Minnesota,Carrier Sales Representative,Transportation - Logistics,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
Cambria,Minnesota,Financial Analyst,Manufacturing - Quartz Surfaces,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Cambria,Minnesota,Business Transformation Analyst,Manufacturing - Quartz Surfaces,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Cantel Medical,New Jersey,Mechanical Engineer,Healthcare - Infection Prevention,2. Healthcare & Medical,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Capitol Region Watershed District,Minnesota,Stormwater BMP Technician,Government - Environmental,6. Government & Public Service,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Captionmax,Minnesota,Caption Editor,Media - Captioning Services,8. Retail & Consumer Products,"A professional creates, reviews, or manages written content for various media."
Cardigan Donuts,Minnesota,IT and Information Security Consultant,Hospitality - Bakery,8. Retail & Consumer Products,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
"CARE PLANNERS HOME HEALTH CARE, LLC",Minnesota,Personal Care Assistant,Healthcare - Home Health,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Caribou Coffee,Minnesota,Barista,Retail - Coffee Chain,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Caribou Coffee,Minnesota,Store Leader,Retail - Coffee Chain,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
"Caring Professionals Homecare, LLC",Minnesota,Billing Assistant,Healthcare - Home Health,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Carondelet Catholic School,Minnesota,3rd Grade Teacher,Education - Private K-12,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
CBRE,Minnesota,Associate Accountant,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate",A professional entry-to-mid level professional contributing to team objectives in their functional area.
CBRE,Texas,Workplace Experience Coordinator,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","A professional organizational role that manages logistics, schedules, and communication across teams."
CBRE,Texas,Client Services Coordinator,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","A professional organizational role that manages logistics, schedules, and communication across teams."
CBS Squared Inc.,Minnesota,"Building Maintenance, Surveyor",Engineering - Civil,"10. Construction, Engineering & Real Estate",A specialized professional role. (Description not available - requires further research.)
CCC,Minnesota,Framer,Technology - Insurance Software,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
CDW,Minnesota,Associate Consulting Engineer,Technology - IT Solutions Distribution,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Cemstone,Minnesota,Environmental Specialist,Manufacturing - Concrete,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Central McGowan,Minnesota,Marketing Contractor,Manufacturing - Welding & Gas Distribution,4. Manufacturing & Industrial,"A professional role focused on promoting products/services through campaigns, content, and strategy."
Ceramic industrial coatings,Minnesota,Business analysis intern,Manufacturing - Industrial Coatings,4. Manufacturing & Industrial,A professional temporary learning position for students or recent graduates to gain professional experience.
CH Robinson,Minnesota,Operations Specialist,Transportation - Logistics,7. Professional Services & Consulting,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Challenge Entertainment,Minnesota,Trivia Jockey,Entertainment - Event Entertainment,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Chartwell Financial Advisory,Minnesota,Investment Banking Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
"Chartwell Financial Advisory, Inc.",Minnesota,Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making."
Cherry Tree & Associates,Minnesota,Investment Banking Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Chick-fil-A-Franchise,Georgia,Team Lead,Hospitality - Restaurant,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Children’s Dental Services,Minnesota,Public Health Assistant,Healthcare,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Children's Discovery Academy,Minnesota,Assistant Teacher,Education - Early Childhood,5. Education & Academia,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Burns & Wilcox,Illinois,Associate Underwriter,Financial Services - Insurance,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Chubb Insurance,Minnesota,Underwriter Account Representative,Financial Services - Insurance,3. Financial Services & Insurance,A professional role serving as a point of contact between an organization and its clients or partners.
Cintas,Ohio,Service Sales Representative,Professional Services - Uniform & Facility,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
"City of Apple Valley, MN",Minnesota,Ice Resurfacer,Government - Municipal,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
City of Cottage Grove,Minnesota,Administration Intern,Government - Municipal,6. Government & Public Service,A professional temporary learning position for students or recent graduates to gain professional experience.
City of Minneapolis,Minnesota,Analyst - Health Department,Government - Municipal,6. Government & Public Service,A professional analytical role focused on examining data and providing insights to support decisions.
"Clarus Medical, LLC",Minnesota,Design and Production Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Clifton Larson Allen,Minnesota,Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.
CliftonLarsonAllen (CLA),Minnesota,M&A - Investment Banking Analyst,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
"Clockwise, Inc.",Minnesota,Business Intern,Technology - Productivity Software,1. Technology & Software,A professional temporary learning position for students or recent graduates to gain professional experience.
Clyde & Co,Do not live in the United States,Client Intake/Compliance Coordinator,Professional Services - Law Firm,7. Professional Services & Consulting,"A professional organizational role that manages logistics, schedules, and communication across teams."
Collective Measures | Performance Marketing,Minnesota,Account Coordinator,Marketing - Digital Marketing,7. Professional Services & Consulting,"A professional organizational role that manages logistics, schedules, and communication across teams."
College Possible,Minnesota,College coach,Education - Nonprofit,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
Collemcvoy,Minnesota,Assistant Media Planner,Marketing - Advertising Agency,7. Professional Services & Consulting,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Collins Aerospace,Minnesota,Associate Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Community of Peace Academy,Minnesota,3rd grade teacher,Education - Charter School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Compute North,Minnesota,Software Engineer,Technology - Data Center / Crypto Mining,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Comunidad de Madrid,Do not live in the United States,Cultural Language Assistant,Government - Regional (Spain),6. Government & Public Service,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Concept Financial Goup,Minnesota,President,Financial Services - Financial Planning,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Congressional Leadership Fund,Virginia,Digital Fundraising Manager,Government - Political,6. Government & Public Service,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Covenant Building and Remodeling,Minnesota,Laborer,Construction - Residential,"10. Construction, Engineering & Real Estate",A specialized professional role. (Description not available - requires further research.)
CRAVE American Kitchen & Sushi Bar,Minnesota,"Hostess, Waiters Assistant",Hospitality - Restaurant,8. Retail & Consumer Products,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Creed Interactive,Minnesota,Associate Designer,Technology - Digital Agency,1. Technology & Software,"A professional creative role focused on designing visual, user experience, or product solutions."
Cricket Health,Minnesota,Information Security Risk and Compliance Analyst,Healthcare - Kidney Care,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Cristo Rey Jusuit High School,Minnesota,Spanish teacher,Education - Private K-12,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Currie & Brown,Do not live in the United States,Cost and Data Analyst,Professional Services - Construction Consulting,7. Professional Services & Consulting,A professional analytical role focused on examining data and providing insights to support decisions.
Chowbus,Illinois,Accounting Assistant,Technology - Food Delivery App,1. Technology & Software,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Cushman & Wakefield,Illinois,Associate Broker,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate",A professional entry-to-mid level professional contributing to team objectives in their functional area.
CVS,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Cvs,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Dahl Consulting,Minnesota,Associate Recruiter,Professional Services,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Daikin Applied,Minnesota,Product Engineer,Manufacturing - HVAC,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Dedicated Logistics Services,Minnesota,Carrier Sales Representative,Transportation - Logistics,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
Deep Rock,Colorado,Automotive Mechanic,Manufacturing,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Delkor,Minnesota,Mechanical Engineer,Manufacturing - Packaging Machines,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Deloitte,Minnesota,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
Deloitte,Minnesota,Accounting Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Deloitte,Minnesota,Actuarial analyst t,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional analytical role focused on examining data and providing insights to support decisions.
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Deloitte,Minnesota,Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines data and information to provide insights, recommendations, and support decision-making."
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Deloitte,Minnesota,Tax Intern,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional temporary learning position for students or recent graduates to gain professional experience.
Delta Air Lines,Georgia,Customer Service Representative,Transportation - Airlines,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
Deluxe,Minnesota,Human Resources Service Center Representative,Financial Services - Payments & Business Technology,1. Technology & Software,A professional role serving as a point of contact between an organization and its clients or partners.
Department of Corrections-Wisconsin,Wisconsin,HR Assistant,Government - Corrections,6. Government & Public Service,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Department of Veteran's Affairs,Minnesota,Medical Analyst,Government - Veterans Affairs,6. Government & Public Service,A professional analytical role focused on examining data and providing insights to support decisions.
Destined Consulting Solutions,Minnesota,MIT Program,Professional Services - Consulting,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
