Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Accountant,Finance & Accounting,Google,Technology & Software,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Registered Nurse,Healthcare & Clinical,Mortenson,Construction / Engineering / Real Estate,SD
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Community Outreach Specialist,Nonprofit & Social Services,Wayzata Public Schools,Education & Academia,MN
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Systems Administrator,Software & IT,Grant Thornton,Professional Services & Consulting,OH
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Office Coordinator,Administrative & Support,Deloitte,Professional Services & Consulting,IL
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2024,Team Lead,Management & Leadership,University of St. Thomas,Education & Academia,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Mechanical Engineer,Engineering,Intel,Technology & Software,IL
Political Science,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Field Engineer,Construction & Trades,City of Minneapolis,Government & Public Service,FL
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,Physical Therapist,Healthcare & Clinical,Osseo Area Schools,Education & Academia,FL
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Underwriter,Finance & Accounting,Wells Fargo,Financial Services & Insurance,MN
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Operations Manager,Operations & Supply Chain,Deloitte,Professional Services & Consulting,OH
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Teaching Assistant,Education & Teaching,Grant Thornton,Professional Services & Consulting,MN
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,HR Coordinator,Human Resources,State of Minnesota,Government & Public Service,CA
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2022,Underwriter,Finance & Accounting,Kraus-Anderson,Construction / Engineering / Real Estate,MA
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Consultant,Consulting & Advisory,Optum,Healthcare & Medical,IL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Financial Analyst,Finance & Accounting,RBC Wealth Management,Financial Services & Insurance,MA
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Assistant,Other,Cargill,Manufacturing & Industrial,NY
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2022,Advisory Associate,Consulting & Advisory,University of St. Thomas,Education & Academia,MA
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Data Analyst,Data & Analytics,Accenture,Professional Services & Consulting,MN
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Project Manager,Management & Leadership,KPMG,Professional Services & Consulting,WI
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Account Executive,Sales & Business Development,CenterPoint Energy,Energy & Utilities,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Compliance Analyst,Legal,UnitedHealth Group,Healthcare & Medical,TX
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Financial Analyst,Finance & Accounting,Wells Fargo,Financial Services & Insurance,NE
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Policy Analyst,Government & Public Service,KPMG,Financial Services & Insurance,IA
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Sales Representative,Sales & Business Development,Xcel Energy,Energy & Utilities,MN
Real Estate Studies,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Social Media Manager,Marketing & Communications,Land O'Lakes,Retail & Consumer Products,NE
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Business Development Associate,Sales & Business Development,3M,Manufacturing & Industrial,TX
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Visual Designer,Design & Creative,AWS,Technology & Software,WA
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Administrative Assistant,Administrative & Support,Mortenson,Construction / Engineering / Real Estate,CA
History,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Tax Associate,Finance & Accounting,City of Minneapolis,Government & Public Service,IA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Account Manager,Sales & Business Development,Grant Thornton,Professional Services & Consulting,MA
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Multimedia Specialist,Design & Creative,Ryan Companies,Construction / Engineering / Real Estate,NY
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Sales Representative,Sales & Business Development,EY,Professional Services & Consulting,CO
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Social Worker,Nonprofit & Social Services,US Army,Government & Public Service,GA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Graphic Designer,Design & Creative,General Mills,Retail & Consumer Products,MN
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Systems Administrator,Software & IT,Intel,Technology & Software,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Content Strategist,Marketing & Communications,KPMG,Financial Services & Insurance,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Administrative Assistant,Administrative & Support,Sleep Number,Retail & Consumer Products,MN
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Clinical Research Coordinator,Healthcare & Clinical,Fairview,Healthcare & Medical,MA
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2025,Inside Sales Rep,Sales & Business Development,CBRE Group,Construction / Engineering / Real Estate,CO
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Health Coach,Healthcare & Clinical,Microsoft,Technology & Software,CO
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Tax Associate,Finance & Accounting,RBC Wealth Management,Financial Services & Insurance,CO
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Business Development Associate,Sales & Business Development,3M,Manufacturing & Industrial,NY
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Research Assistant,Research & Science,Children's Minnesota,Healthcare & Medical,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Grant Writer,Nonprofit & Social Services,Accenture,Professional Services & Consulting,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,HR Coordinator,Human Resources,NextEra Energy,Energy & Utilities,MN
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Teacher,Education & Teaching,Toro Company,Manufacturing & Industrial,TX
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,HR Generalist,Human Resources,Kraus-Anderson,Construction / Engineering / Real Estate,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,IT Analyst,Software & IT,Xcel Energy,Energy & Utilities,NY
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Operations Manager,Operations & Supply Chain,Osseo Area Schools,Education & Academia,CO
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Coordinator,Other,Abbott Laboratories,Healthcare & Medical,NY
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Appraiser,Real Estate,3M,Technology & Software,MN
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Lab Technician,Research & Science,Mortenson,Construction / Engineering / Real Estate,IA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Operations Analyst,Operations & Supply Chain,UnitedHealth Group,Healthcare & Medical,MN
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Clinical Research Associate,Research & Science,NextEra Energy,Energy & Utilities,WA
Communication Studies,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2021,Software Engineer,Software & IT,Sleep Number,Retail & Consumer Products,WI
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Scientist,Research & Science,Intel,Technology & Software,IL
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Tax Associate,Finance & Accounting,Securian Financial,Financial Services & Insurance,CO
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Graphic Designer,Design & Creative,KPMG,Financial Services & Insurance,IL
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Physical Therapist,Healthcare & Clinical,UnitedHealth Group,Healthcare & Medical,CO
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Sales Representative,Sales & Business Development,Mortenson,Construction / Engineering / Real Estate,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Software Engineer,Software & IT,General Mills,Retail & Consumer Products,MA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Appraiser,Real Estate,Ryan Companies,Construction / Engineering / Real Estate,WA
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2024,Clinical Research Coordinator,Healthcare & Clinical,Boston Consulting Group,Professional Services & Consulting,WA
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Instructor,Education & Teaching,Mortenson,Construction / Engineering / Real Estate,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Real Estate Analyst,Real Estate,Abbott Northwestern Hospital,Healthcare & Medical,TX
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Research Assistant,Research & Science,Google,Technology & Software,OH
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2022,Content Strategist,Marketing & Communications,Target (Tech),Technology & Software,MN
Educational Studies,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Construction Manager,Construction & Trades,Allina Health,Healthcare & Medical,CA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Operations Director,Management & Leadership,EY,Professional Services & Consulting,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Civil Engineer,Engineering,Osseo Area Schools,Education & Academia,IA
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Registered Nurse,Healthcare & Clinical,Best Buy,Retail & Consumer Products,MN
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2024,Content Strategist,Marketing & Communications,General Mills,Retail & Consumer Products,WI
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,HR Generalist,Human Resources,Wayzata Public Schools,Education & Academia,NE
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Operations Manager,Operations & Supply Chain,Fastenal,Retail & Consumer Products,WA
COJO Journalism,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2024,Inside Sales Rep,Sales & Business Development,KPMG,Financial Services & Insurance,MN
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Web Developer,Software & IT,City of Minneapolis,Government & Public Service,WI
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Clinical Research Associate,Research & Science,Allianz,Financial Services & Insurance,FL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Project Manager,Management & Leadership,AWS,Technology & Software,NE
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Clinical Research Coordinator,Healthcare & Clinical,Abbott Laboratories,Healthcare & Medical,IA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Supply Chain Coordinator,Operations & Supply Chain,IBM,Technology & Software,NE
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Health Coach,Healthcare & Clinical,Grant Thornton,Professional Services & Consulting,SD
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Systems Administrator,Software & IT,IBM,Technology & Software,NY
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Accountant,Finance & Accounting,Deloitte,Financial Services & Insurance,WA
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Accountant,Finance & Accounting,Target (Tech),Technology & Software,NY
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Data Scientist,Data & Analytics,Honeywell,Manufacturing & Industrial,GA
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2025,Management Consultant,Consulting & Advisory,Grant Thornton,Professional Services & Consulting,MN
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Registered Nurse,Healthcare & Clinical,Grant Thornton,Professional Services & Consulting,WA
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Web Developer,Software & IT,Children's Minnesota,Healthcare & Medical,MA
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Contract Specialist,Legal,Peace Corps,Government & Public Service,FL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Operations Manager,Operations & Supply Chain,McGough Construction,Construction / Engineering / Real Estate,SD
Strategic Comm: Ad and PR,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2021,Account Manager,Sales & Business Development,Cargill,Retail & Consumer Products,FL
Real Estate Studies,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Legal Coordinator,Legal,Optum,Technology & Software,GA
Economics,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,City Planner,Government & Public Service,St. Paul Public Schools,Education & Academia,NY
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Data Scientist,Data & Analytics,Deloitte,Professional Services & Consulting,IA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Brand Manager,Marketing & Communications,Peace Corps,Government & Public Service,MN
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Account Manager,Sales & Business Development,Medtronic,Healthcare & Medical,WI
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Community Outreach Specialist,Nonprofit & Social Services,Optum,Technology & Software,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Underwriter,Finance & Accounting,Boston Consulting Group,Professional Services & Consulting,IL
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Associate,Other,Peace Corps,Government & Public Service,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,City Planner,Government & Public Service,Fastenal,Retail & Consumer Products,WA
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Sales Representative,Sales & Business Development,Wells Fargo,Financial Services & Insurance,WA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2024,Inspector,Construction & Trades,US Army,Government & Public Service,WI
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2019,Data Scientist,Data & Analytics,KPMG,Professional Services & Consulting,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Quantitative Analyst,Data & Analytics,KPMG,Financial Services & Insurance,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Legislative Aide,Government & Public Service,Best Buy,Retail & Consumer Products,ND
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Paralegal,Legal,Boston Consulting Group,Professional Services & Consulting,NY
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Health Coach,Healthcare & Clinical,Peace Corps,Government & Public Service,MN
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Receptionist,Administrative & Support,General Mills,Manufacturing & Industrial,NY
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2022,Program Manager,Management & Leadership,Best Buy,Retail & Consumer Products,MN
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2019,Web Developer,Software & IT,Mortenson,Construction / Engineering / Real Estate,MA
Middle/Secondary Education,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2022,Systems Administrator,Software & IT,US Army,Government & Public Service,GA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Associate,Other,Hennepin County,Government & Public Service,MN
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Civil Engineer,Engineering,Cargill,Manufacturing & Industrial,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Contract Specialist,Legal,Microsoft,Technology & Software,FL
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Mechanical Engineer,Engineering,Kraus-Anderson,Construction / Engineering / Real Estate,IL
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Auditor,Finance & Accounting,Cargill,Manufacturing & Industrial,NY
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Project Engineer,Engineering,Medtronic,Healthcare & Medical,FL
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Coordinator,Other,Kraus-Anderson,Construction / Engineering / Real Estate,WI
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Analytics Consultant,Data & Analytics,Ameriprise Financial,Financial Services & Insurance,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Public Administrator,Government & Public Service,Abbott Laboratories,Healthcare & Medical,FL
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Social Worker,Nonprofit & Social Services,KPMG,Financial Services & Insurance,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Civil Engineer,Engineering,Wells Fargo,Financial Services & Insurance,IL
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Web Developer,Software & IT,Wayzata Public Schools,Education & Academia,MN
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Public Administrator,Government & Public Service,Allina Health,Healthcare & Medical,MN
English,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Legal Assistant,Legal,Deloitte,Financial Services & Insurance,FL
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Coordinator,Other,Kraus-Anderson,Construction / Engineering / Real Estate,FL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,PR Specialist,Marketing & Communications,Land O'Lakes,Retail & Consumer Products,IL
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Clinical Research Coordinator,Healthcare & Clinical,University of St. Thomas,Education & Academia,IA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Brand Manager,Marketing & Communications,Toro Company,Manufacturing & Industrial,GA
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Quantitative Analyst,Data & Analytics,Google,Technology & Software,CA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Account Manager,Sales & Business Development,Peace Corps,Government & Public Service,NY
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Inside Sales Rep,Sales & Business Development,Grant Thornton,Professional Services & Consulting,MN
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Case Manager,Nonprofit & Social Services,Accenture,Professional Services & Consulting,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Strategy Analyst,Consulting & Advisory,EY,Professional Services & Consulting,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Software Engineer,Software & IT,Grant Thornton,Professional Services & Consulting,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Appraiser,Real Estate,State of Minnesota,Government & Public Service,MA
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2025,Operations Analyst,Operations & Supply Chain,CBRE Group,Construction / Engineering / Real Estate,IL
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Business Intelligence Analyst,Data & Analytics,Microsoft,Technology & Software,IA
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Underwriter,Finance & Accounting,Osseo Area Schools,Education & Academia,CO
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Assistant,Other,KPMG,Financial Services & Insurance,IA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Multimedia Specialist,Design & Creative,Deloitte,Financial Services & Insurance,MN
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Accountant,Finance & Accounting,Children's Minnesota,Healthcare & Medical,FL
Data Analytics,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Data Scientist,Data & Analytics,McGough Construction,Construction / Engineering / Real Estate,MA
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Legal Assistant,Legal,City of Minneapolis,Government & Public Service,OH
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Business Intelligence Analyst,Data & Analytics,McGough Construction,Construction / Engineering / Real Estate,IL
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Accountant,Finance & Accounting,Optum,Healthcare & Medical,ND
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Health Coach,Healthcare & Clinical,Securian Financial,Financial Services & Insurance,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Project Engineer,Engineering,Cargill,Manufacturing & Industrial,MN
